,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-0.657,27.22,27.2,27.76,26.92,27.4,2493120,2.16417,67895643,48.607,4.834,783936.0,313574.4
1,603998,方盛制药,-0.547,16.36,16.21,16.7,16.21,16.45,2019400,0.75021,33297714,25.563,7.75,708398.99392,440373.93192
2,603997,继峰股份,-0.284,17.56,17.55,17.86,17.31,17.61,1773718,1.55589,31193696,39.909,5.066,737520.0,200184.0
3,603996,中新科技,-3.096,20.03,20.31,20.49,20.01,20.67,2820414,2.73097,57068717,27.819,4.491,601200.45,206859.825
4,603993,洛阳钼业,-2.25,3.91,3.99,4.01,3.9,4.0,50157156,0.3872,197859834,78.2,0.741,6602894.69131,5064908.70331
5,603990,麦迪科技,-4.585,45.99,47.6,47.87,45.8,48.2,1027901,5.13951,48270020,70.754,14.021,367920.0,91980.0
6,603989,艾华集团,3.818,33.72,32.36,33.95,31.99,32.48,1945009,2.3052,64550776,38.759,5.889,1011600.0,284512.5
7,603988,中电电机,-5.787,68.05,69.33,71.58,66.9,72.23,2004741,8.94974,138194617,128.396,8.417,544400.0,152432.0
8,603987,康德莱,-3.611,26.16,26.7,26.85,26.15,27.14,3195662,6.0754,84815067,43.6,6.214,550118.64,137601.6
9,603986,兆易创新,0.0,177.97,0.0,0.0,0.0,177.97,0,0.0,0,84.748,14.389,1779700.0,444925.0
10,603979,金诚信,-0.173,17.28,17.28,17.33,17.07,17.31,3179026,1.69959,54545463,27.429,2.126,777600.0,323216.1792
11,603977,国泰集团,-0.15,26.58,27.5,28.7,26.12,26.62,15280155,27.64138,418158537,45.051,6.718,587630.64,146934.24
12,603969,银龙股份,-0.665,13.45,13.53,13.6,13.4,13.54,1016648,0.66608,13710297,40.758,3.475,538000.0,205288.0225
13,603968,醋化股份,-0.391,22.9,22.95,22.97,22.61,22.99,798034,0.58421,18231931,40.175,3.797,468259.2,312814.0
14,603959,百利科技,-1.851,25.45,25.78,26.03,25.25,25.93,1430069,2.55369,36812304,56.556,6.943,570080.0,142520.0
15,603958,哈森股份,0.236,25.48,25.12,25.6,24.8,25.42,2135889,3.92931,53820260,34.856,4.834,553833.28,138503.791608
16,603939,益丰药房,-0.222,27.0,27.06,27.19,26.7,27.06,960152,0.61545,25937612,47.038,3.381,979275.5766,421221.6
17,603936,博敏电子,-2.75,27.58,28.38,28.38,27.5,28.36,1067941,1.90364,29724457,56.749,5.016,461551.3,154723.8
18,603929,亚翔集成,9.995,22.34,22.34,22.34,22.34,20.31,175244,0.32842,3914951,44.68,5.383,476646.24,119206.24
19,603928,兴业股份,-2.85,23.18,23.5,23.68,23.11,23.86,4628281,9.1831,108226642,32.194,6.214,467308.8,116827.2
20,603919,金徽酒,-0.485,26.67,26.7,27.05,26.45,26.8,1282000,1.83143,34310515,33.759,4.726,746760.0,186690.0
21,603918,金桥信息,1.218,26.6,26.3,27.15,25.8,26.28,1477594,1.19795,39299247,56.596,10.249,468160.0,328095.04
22,603909,合诚股份,-0.937,46.5,46.26,47.2,44.5,46.94,1342498,5.36999,61978668,65.799,8.344,465000.0,116250.0
23,603901,永创智能,-0.679,13.16,13.19,13.34,13.03,13.25,1598109,1.03773,21097228,32.9,6.019,526400.0,202664.0
24,603900,通灵珠宝,-3.454,31.59,32.15,32.47,31.52,32.72,3465997,5.70076,110928579,31.909,4.928,768254.9004,192063.7251
25,603899,晨光文具,0.236,17.02,17.01,17.15,16.92,16.98,1190500,0.53147,20263924,18.323,6.714,1565840.0,381248.0
26,603898,好莱客,-1.607,29.39,29.97,29.97,29.21,29.87,580850,0.66585,17122231,50.672,8.344,881406.1,256380.726
27,603889,新澳股份,1.972,14.48,14.24,14.85,14.01,14.2,1042137,0.7342,14790409,17.446,4.062,470831.68,205530.7852
28,603888,新华网,-4.572,70.97,73.5,73.68,70.88,74.37,1978322,3.81158,142938034,42.244,9.45,1473420.54717,368355.136792
29,603887,城地股份,-2.558,46.48,47.46,47.47,46.4,47.7,455111,1.85004,21345153,61.158,6.738,455968.8,114340.8
30,603886,元祖股份,-8.194,25.77,27.3,27.47,25.7,28.07,14296549,23.82883,380304011,40.266,8.986,618480.0,154611.869565
31,603885,吉祥航空,-1.52,23.33,23.53,23.79,23.32,23.69,1256330,0.58434,29596500,24.052,3.92,2994594.60132,501595.0
32,603883,老百姓,-0.183,43.67,43.6,43.9,43.06,43.75,481654,0.57256,21038908,44.561,5.36,1165989.0,367366.193447
33,603878,武进不锈,-4.983,27.65,28.66,28.68,27.61,29.1,6653382,13.17501,187232451,30.722,3.474,558530.0,139632.5
34,603877,太平鸟,-9.995,37.46,40.51,40.98,37.46,41.62,20360684,37.01943,798315774,29.266,8.712,1779350.0,206030.0
35,603869,北部湾旅,1.486,27.32,26.79,27.66,26.5,26.92,1324798,1.81796,36318740,78.057,3.272,952938.724176,199088.70816
36,603868,飞科电器,-1.555,46.21,46.63,46.93,46.04,46.94,855074,1.96118,39723415,36.102,11.08,2012907.6,201475.6
37,603866,桃李面包,-4.601,41.47,43.1,43.6,41.41,43.47,1300345,2.19737,54902214,48.221,9.589,1866672.522,245408.42898
38,603861,白云电器,-2.764,25.68,26.35,26.35,25.57,26.41,1361956,2.77384,35191236,53.701,5.814,1050568.8,126088.8
39,603859,能科股份,0.199,60.29,59.78,60.8,58.65,60.17,1941330,6.83808,116209591,132.68,11.863,684653.24,171163.31
40,603858,步长制药,-2.784,82.41,84.04,84.18,82.36,84.77,1703620,2.44072,141997125,14.26,5.997,5618713.8,575221.8
41,603843,正平股份,-3.968,16.7,17.28,17.28,16.61,17.39,5770466,5.78783,97428211,57.586,5.578,668005.01,166499.0
42,603838,四通股份,0.0,16.2,0.0,0.0,0.0,16.2,0,0.0,0,34.468,6.604,432021.6,157593.6
43,603828,柯利达,0.511,23.6,23.5,23.83,23.3,23.48,892264,1.48414,21061873,50.213,4.305,435448.32,141883.2
44,603823,百合花,-2.963,28.49,28.86,29.35,28.02,29.36,6966598,15.48133,199619417,39.569,7.659,641025.0,128205.0
45,603822,嘉澳环保,-4.659,47.07,49.0,49.0,47.0,49.37,1077978,5.87454,51432033,66.624,5.583,345258.45,86373.45
46,603819,神力股份,2.309,36.77,35.6,37.59,35.49,35.94,2768987,9.22996,101431465,72.098,6.772,441240.0,110310.0
47,603818,曲美家居,-4.388,15.69,16.03,16.34,15.65,16.41,2526571,1.91977,40173922,60.346,5.709,759584.28,206492.952
48,603816,顾家家居,-3.1,42.2,43.01,43.2,42.12,43.55,1943350,2.35558,82645547,27.947,10.534,1740750.0,348150.0
49,603808,歌力思,-0.448,28.87,28.62,29.08,28.4,29.0,1100978,1.32586,31662072,26.731,4.41,717341.69535,239732.452635
50,603806,福斯特,-1.894,45.06,45.87,45.92,45.03,45.93,861383,0.95486,39199226,27.988,3.951,1811412.0,406486.26
51,603800,道森股份,0.923,32.8,32.1,32.9,31.84,32.5,7062203,10.44705,229222918,185.311,7.347,682240.0,221728.0
52,603799,华友钴业,0.23,39.17,38.98,39.71,38.66,39.08,11990218,4.42,468928925,-83.34,8.58,2321514.36754,1062572.424
53,603798,康普顿,-0.752,51.5,51.8,51.87,50.62,51.89,708850,2.8354,36203592,46.396,6.808,515000.0,128750.0
54,603789,星光农机,3.309,27.79,26.9,28.66,26.7,26.9,1854417,2.31802,51030535,64.136,5.038,560132.461,222320.0
55,603788,宁波高发,-1.247,35.64,35.95,36.2,35.51,36.09,692549,1.41348,24829484,42.429,6.503,503949.6,174621.744
